Show_id,age_group,gender,country,region,subscription_plan,monthly_fee,subscription_start_date,subscription_end_date,payment_method,discount_applied,churn_status,title,content_type,genre,language,release_year,device_type,watch_time_minutes,session_count,completion_percentage,date_watched,time_of_day,rating,liked,recommendation_source,days_since_last_watch,avg_weekly_watch_time,content_diversity_score,User_status,Engagement_Level,Completion_group,Viwer_Type
U100000,21,Female,Canada,North America,Basic,8.99,2022-03-01,2022-04-19,Bank Transfer,No,Cancelled,Romance Title 525,Series,Romance,Hindi,2000,Mobile,64,2,100,2022-05-23,Night,5,Yes,Trending,54,156,0.35,At Risk,low,High Completion,Casual viewer
U100001,17,Female,Nigeria,Africa,Basic,8.99,2022-12-02,2026-02-07,Bank Transfer,No,Active,Comedy Title 1211,Movie,Comedy,Portuguese,2002,TV,52,1,86,2023-03-29,Evening,3,No,Trending,55,150,0.49,At Risk,low,High Completion,Casual viewer
U100002,60,Male,Nigeria,Africa,Standard,13.99,2023-09-01,2026-02-07,Card,Yes,Active,Thriller Title 2197,Series,Thriller,German,2009,TV,91,3,100,2023-09-15,Evening,3,No,Friend,10,245,0.28,Active,low,High Completion,Casual viewer
U100003,60,Male,Nigeria,Africa,Standard,13.99,2024-05-26,2026-02-07,Card,Yes,Active,Action Title 782,Series,Action,Hindi,2000,Mobile,104,3,100,2025-01-31,Afternoon,3,No,Trending,54,285,0.73,At Risk,low,High Completion,Heavy viewer
U100004,50,Female,Canada,North America,Basic,8.99,2023-12-19,2026-02-07,Bank Transfer,No,Active,Drama Title 1679,Movie,Drama,German,2005,Tablet,63,2,100,2024-06-17,Afternoon,4,Yes,Algorithm,8,139,0.42,Active,low,High Completion,Casual viewer
U100005,40,Female,Nigeria,Africa,Premium,17.99,2023-12-18,2026-02-07,Wallet,Yes,Active,Comedy Title 1905,Series,Comedy,Japanese,2010,Mobile,96,3,80,2024-09-25,Morning,4,Yes,Ads,4,395,0.78,Active,low,High Completion,Heavy viewer
U100006,40,Male,South Africa,Africa,Premium,17.99,2022-12-18,2026-02-07,Bank Transfer,No,Active,Animation Title 2700,Movie,Animation,Hindi,2013,Laptop,97,3,80,2023-05-29,Evening,5,Yes,Search,30,352,0.46,Active,low,High Completion,Heavy viewer
U100007,30,Male,USA,North America,Standard,13.99,2022-04-27,2026-02-07,Card,No,Active,Romance Title 2859,Series,Romance,French,2011,Mobile,83,2,92,2022-10-03,Morning,4,Yes,Trending,59,301,0.65,At Risk,low,High Completion,Heavy viewer
U100008,30,Female,France,Europe,Premium,17.99,2024-03-10,2026-02-07,Card,No,Active,Thriller Title 1671,Movie,Thriller,Portuguese,2014,Mobile,98,3,81,2024-10-24,Morning,5,Yes,Friend,43,396,0.4,At Risk,low,High Completion,Heavy viewer
U100009,50,Female,France,Europe,Standard,13.99,2024-02-07,2026-02-07,Bank Transfer,Yes,Active,Romance Title 2709,Movie,Romance,English,2008,TV,90,3,100,2024-07-22,Evening,4,Yes,Trending,42,316,0.9,At Risk,low,High Completion,Heavy viewer
U100010,17,Female,France,Europe,Premium,17.99,2023-05-18,2026-02-07,Card,No,Active,Animation Title 831,Series,Animation,Yoruba,2012,Laptop,115,3,95,2023-12-19,Evening,4,Yes,Trending,30,349,0.54,Active,low,High Completion,Heavy viewer
U100011,17,Female,Brazil,South America,Premium,17.99,2024-02-22,2026-02-07,Wallet,Yes,Active,Animation Title 2533,Series,Animation,Portuguese,2009,TV,114,3,95,2024-06-11,Morning,3,No,Friend,60,348,0.47,At Risk,low,High Completion,Heavy viewer
U100012,50,Male,Japan,Asia,Premium,17.99,2022-09-22,2026-02-07,Bank Transfer,No,Active,Sci-Fi Title 572,Series,Sci-Fi,Yoruba,2013,Mobile,119,3,99,2023-07-13,Evening,2,No,Friend,34,317,0.23,At Risk,low,High Completion,Heavy viewer
U100013,40,Female,Germany,Europe,Standard,13.99,2022-07-01,2026-02-07,Bank Transfer,Yes,Active,Drama Title 351,Movie,Drama,Hindi,2008,Tablet,75,2,83,2022-10-23,Afternoon,3,No,Trending,29,253,0.59,Active,low,High Completion,Heavy viewer
U100014,21,Male,Brazil,South America,Premium,17.99,2023-10-17,2026-02-07,Bank Transfer,No,Active,Animation Title 912,Series,Animation,Japanese,2008,TV,107,3,89,2024-06-01,Evening,5,Yes,Ads,49,416,0.63,At Risk,low,High Completion,Heavy viewer
U100015,21,Male,Germany,Europe,Basic,8.99,2023-03-09,2024-08-03,Bank Transfer,No,Cancelled,Documentary Title 292,Movie,Documentary,Hindi,2011,Mobile,80,2,100,2023-03-31,Morning,5,Yes,Ads,57,214,0.21,At Risk,low,High Completion,Casual viewer
U100016,17,Female,France,Europe,Standard,13.99,2023-07-14,2026-02-07,Wallet,No,Active,Thriller Title 1007,Movie,Thriller,French,2017,Laptop,99,3,100,2023-09-17,Afternoon,3,No,Friend,27,254,0.29,Active,low,High Completion,Heavy viewer
U100017,30,Male,Canada,North America,Premium,17.99,2023-01-29,2026-02-07,Card,Yes,Active,Comedy Title 207,Series,Comedy,English,2019,Laptop,106,3,88,2023-10-08,Evening,5,Yes,Friend,18,461,0.39,Active,low,High Completion,Heavy viewer
U100018,50,Male,Nigeria,Africa,Basic,8.99,2022-06-19,2023-04-28,Card,No,Cancelled,Sci-Fi Title 968,Series,Sci-Fi,Japanese,2001,Mobile,79,2,100,2023-04-10,Night,3,No,Search,43,204,0.27,At Risk,low,High Completion,Casual viewer
U100019,40,Male,USA,North America,Basic,8.99,2022-06-12,2023-02-12,Card,No,Cancelled,Drama Title 573,Movie,Drama,Yoruba,2018,Mobile,78,2,100,2023-02-10,Evening,4,Yes,Friend,46,131,0.75,At Risk,low,High Completion,Casual viewer
U100020,17,Male,South Africa,Africa,Standard,13.99,2022-12-11,2026-02-07,Card,No,Active,Thriller Title 332,Movie,Thriller,Portuguese,2002,Mobile,101,3,100,2023-06-21,Night,5,Yes,Search,25,286,0.65,Active,low,High Completion,Heavy viewer
U100021,30,Male,Japan,Asia,Basic,8.99,2024-02-24,2026-02-07,Bank Transfer,Yes,Active,Drama Title 482,Movie,Drama,German,2004,Tablet,74,2,100,2024-10-24,Night,4,Yes,Trending,51,170,0.7,At Risk,low,High Completion,Casual viewer
U100022,30,Female,Canada,North America,Premium,17.99,2023-03-07,2026-02-07,Wallet,No,Active,Comedy Title 434,Series,Comedy,German,2011,Mobile,105,3,87,2023-10-06,Afternoon,4,Yes,Trending,30,361,0.34,Active,low,High Completion,Heavy viewer
U100023,60,Female,India,Asia,Premium,17.99,2023-12-24,2025-02-08,Wallet,No,Cancelled,Comedy Title 1757,Movie,Comedy,Hindi,2013,Mobile,117,3,97,2024-06-03,Afternoon,3,No,Algorithm,6,389,0.97,Active,low,High Completion,Heavy viewer
U100024,21,Female,France,Europe,Premium,17.99,2022-09-23,2026-02-07,Wallet,Yes,Active,Animation Title 839,Movie,Animation,German,2019,Tablet,106,3,88,2022-12-08,Evening,3,No,Friend,55,388,0.76,At Risk,low,High Completion,Heavy viewer
U100025,50,Female,Nigeria,Africa,Standard,13.99,2023-12-28,2026-02-07,Wallet,No,Active,Documentary Title 593,Series,Documentary,English,2000,Mobile,91,3,100,2024-01-21,Night,5,Yes,Ads,15,272,0.79,Active,low,High Completion,Heavy viewer
U100026,21,Female,Brazil,South America,Standard,13.99,2023-02-27,2026-02-07,Bank Transfer,No,Active,Drama Title 1003,Movie,Drama,Portuguese,2005,Laptop,94,3,100,2023-07-20,Morning,4,Yes,Friend,26,270,0.6,Active,low,High Completion,Heavy viewer
U100027,40,Male,UK,Europe,Premium,17.99,2022-08-29,2026-02-07,Wallet,No,Active,Drama Title 1505,Series,Drama,French,2002,Tablet,133,4,100,2023-02-12,Afternoon,2,No,Search,29,299,0.28,Active,low,High Completion,Heavy viewer
U100028,50,Female,Brazil,South America,Standard,13.99,2023-05-16,2026-02-07,Card,No,Active,Comedy Title 2460,Series,Comedy,Yoruba,2005,TV,83,2,92,2023-11-17,Evening,4,Yes,Friend,58,234,0.62,At Risk,low,High Completion,Casual viewer
U100029,21,Female,France,Europe,Premium,17.99,2023-07-19,2026-02-07,Wallet,No,Active,Action Title 118,Movie,Action,Hindi,2017,Mobile,114,3,95,2024-04-09,Evening,5,Yes,Friend,30,433,0.71,Active,low,High Completion,Heavy viewer
U100030,17,Female,South Africa,Africa,Standard,13.99,2023-04-15,2024-04-03,Wallet,No,Cancelled,Thriller Title 2217,Movie,Thriller,French,2016,Laptop,83,2,92,2023-08-28,Night,2,No,Algorithm,1,239,0.34,Active,low,High Completion,Casual viewer
U100031,30,Female,Germany,Europe,Basic,8.99,2024-05-20,2026-02-07,Bank Transfer,No,Active,Animation Title 1675,Series,Animation,German,2003,Laptop,84,2,100,2024-08-05,Morning,4,Yes,Ads,58,246,0.69,At Risk,low,High Completion,Casual viewer
U100032,21,Male,UK,Europe,Standard,13.99,2022-03-31,2026-02-07,Wallet,No,Active,Drama Title 1894,Series,Drama,German,2021,Mobile,86,2,95,2023-01-09,Night,5,Yes,Ads,7,269,0.58,Active,low,High Completion,Heavy viewer
U100033,21,Male,Germany,Europe,Basic,8.99,2023-06-25,2026-02-07,Bank Transfer,No,Active,Drama Title 1243,Series,Drama,German,2015,Laptop,46,1,76,2024-03-29,Morning,3,No,Search,2,161,0.7,Active,low,Medium,Casual viewer
U100034,21,Female,UK,Europe,Standard,13.99,2024-03-07,2025-03-24,Card,No,Cancelled,Thriller Title 1702,Movie,Thriller,Portuguese,2013,Mobile,86,2,95,2024-07-14,Morning,4,Yes,Search,60,295,0.66,At Risk,low,High Completion,Heavy viewer
U100035,17,Female,Brazil,South America,Basic,8.99,2023-03-29,2026-02-07,Wallet,No,Active,Romance Title 2310,Series,Romance,English,2012,Tablet,61,2,100,2023-08-25,Evening,4,Yes,Ads,40,175,0.92,At Risk,low,High Completion,Casual viewer
